,グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
89,GT C Edition 50 (2),1450〜1603万円,2290.0,3982cc,2,FR,−,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=43660/,"GT 2015年モデル
                                        (58)",GT,2015年モデル,GT C Edition 50,AMG
90,GT R (9),1617〜2308万円,2453.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=42169/,"GT 2015年モデル
                                        (58)",GT,2015年モデル,GT R,AMG
91,GT R PRO (4),2707〜2782万円,2954.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=48455/,"GT 2015年モデル
                                        (58)",GT,2015年モデル,GT R PRO,AMG
92,GT Roadster (1),1498万円,1917.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33296/Generation=42128/UCGrade=42899/,"GTロードスター 2017年モデル
                                        (12)",GTロードスター,2017年モデル,GT Roadster,AMG
93,GT Roadster (左ハンドル) (3),1328〜1686万円,1917.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33296/Generation=42128/UCGrade=42898/,"GTロードスター 2017年モデル
                                        (12)",GTロードスター,2017年モデル,GT Roadster (左ハンドル),AMG
94,GT Roadster Night Edition (1),1699万円,2153.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33296/Generation=42128/UCGrade=52467/,"GTロードスター 2017年モデル
                                        (12)",GTロードスター,2017年モデル,GT Roadster Night Edition,AMG
95,GT C Roadster (5),1467〜2250万円,2352.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33296/Generation=42128/UCGrade=42900/,"GTロードスター 2017年モデル
                                        (12)",GTロードスター,2017年モデル,GT C Roadster,AMG
96,S 63 E PERFORMANCE (3),2425〜2873万円,3726.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31028/Generation=42621/UCGrade=64076/,"S AMG 2023年モデル
                                        (14)",S AMG,2023年モデル,S 63 E PERFORMANCE,AMG
97,S 63 E PERFORMANCE (左ハンドル) (8),2317〜3196万円,3726.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31028/Generation=42621/UCGrade=64075/,"S AMG 2023年モデル
                                        (14)",S AMG,2023年モデル,S 63 E PERFORMANCE (左ハンドル),AMG
98,S 63 E PERFORMANCE Edition 1 (1),2819万円,4040.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31028/Generation=42621/UCGrade=63954/,"S AMG 2023年モデル
                                        (14)",S AMG,2023年モデル,S 63 E PERFORMANCE Edition 1,AMG
99,S63 4MATIC long (11),520〜748万円,2483.0,5461cc,5,4WD,7AT,8.9km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31028/Generation=41778/UCGrade=28759/,"S AMG 2013年モデル
                                        (46)",S AMG,2013年モデル,S63 4MATIC long,AMG
100,S63 long (21),441〜1260万円,2575.0,3982cc,5,FR,9AT,9.6km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31028/Generation=41778/UCGrade=28758/,"S AMG 2013年モデル
                                        (46)",S AMG,2013年モデル,S63 long,AMG
101,S63 4MATIC+ long (5),850〜1298万円,2616.0,3982cc,5,4WD,9AT,8.8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31028/Generation=41778/UCGrade=42606/,"S AMG 2013年モデル
                                        (46)",S AMG,2013年モデル,S63 4MATIC+ long,AMG
102,S65 long (7),975〜4020万円,3427.0,5980cc,5,FR,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31028/Generation=41778/UCGrade=28760/,"S AMG 2013年モデル
                                        (46)",S AMG,2013年モデル,S65 long,AMG
103,S63 long (2),178〜285万円,2302.0,5461cc,5,FR,7AT,8.4km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31028/Generation=40526/UCGrade=17254/,"S AMG 2006年モデル
                                        (8)",S AMG,2006年モデル,S63 long,AMG
104,S63 long (左ハンドル) (1),580.0万円,2302.0,5461cc,5,FR,7AT,8.4km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31028/Generation=40526/UCGrade=22412/,"S AMG 2006年モデル
                                        (8)",S AMG,2006年モデル,S63 long (左ハンドル),AMG
105,S65 AMG ロング (左) (2),598〜1029万円,3040.0,5980cc,5,FR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31028/Generation=40526/UCGrade=23687/,"S AMG 2006年モデル
                                        (8)",S AMG,2006年モデル,S65 AMG ロング (左),AMG
106,S65 long (2),450〜688万円,2820.0,5980cc,5,FR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31028/Generation=40526/UCGrade=17253/,"S AMG 2006年モデル
                                        (8)",S AMG,2006年モデル,S65 long,AMG
107,S55 long (3),230〜234万円,1858.0,5438cc,5,FR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31028/Generation=40525/UCGrade=17248/,"S AMG 1999年モデル
                                        (5)",S AMG,1999年モデル,S55 long,AMG
108,318i Touring (3),260〜358万円,560.0,1998cc,5,FR,8AT,15.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=42297/UCGrade=52739/,"3シリーズツーリング 2019年モデル
                                        (260)",3シリーズツーリング,2019年モデル,318i Touring,BMW
109,320i Touring (4),219〜345万円,596.0,1998cc,5,FR,8AT,14.9km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=42297/UCGrade=49911/,"3シリーズツーリング 2019年モデル
                                        (260)",3シリーズツーリング,2019年モデル,320i Touring,BMW
110,320d xDrive Touring Edition Joy+ (4),292〜410万円,606.0,1995cc,5,4WD,8AT,19.6km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=42297/UCGrade=51800/,"3シリーズツーリング 2019年モデル
                                        (260)",3シリーズツーリング,2019年モデル,320d xDrive Touring Edition Joy+,BMW
111,320d xDrive Touring (6),241〜342万円,650.0,1995cc,5,4WD,8AT,19.6km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=42297/UCGrade=49912/,"3シリーズツーリング 2019年モデル
                                        (260)",3シリーズツーリング,2019年モデル,320d xDrive Touring,BMW
112,320d xDrive Touring M Sport Edition Joy+ (14),251〜416万円,658.0,1995cc,5,4WD,8AT,19.6km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=42297/UCGrade=51801/,"3シリーズツーリング 2019年モデル
                                        (260)",3シリーズツーリング,2019年モデル,320d xDrive Touring M Sport Edition Joy+,BMW
113,330i Touring M Sport (13),289〜430万円,673.0,1998cc,5,FR,8AT,15.1km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=42297/UCGrade=49908/,"3シリーズツーリング 2019年モデル
                                        (260)",3シリーズツーリング,2019年モデル,330i Touring M Sport,BMW
114,320d xDrive Touring M Sport Limited (1),432.9万円,688.0,1995cc,5,4WD,8AT,19.6km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=42297/UCGrade=58725/,"3シリーズツーリング 2019年モデル
                                        (260)",3シリーズツーリング,2019年モデル,320d xDrive Touring M Sport Limited,BMW
115,318i Touring M Sport (47),275〜511万円,706.0,1998cc,5,FR,8AT,13.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=42297/UCGrade=52740/,"3シリーズツーリング 2019年モデル
                                        (260)",3シリーズツーリング,2019年モデル,318i Touring M Sport,BMW
116,320i Touring M Sport (53),238〜608万円,772.0,1998cc,5,FR,8AT,15.1km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=42297/UCGrade=49909/,"3シリーズツーリング 2019年モデル
                                        (260)",3シリーズツーリング,2019年モデル,320i Touring M Sport,BMW
117,320d xDrive Touring M Sport Edition Shadow (13),511〜678万円,781.0,1995cc,5,4WD,8AT,18.8km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=42297/UCGrade=64499/,"3シリーズツーリング 2019年モデル
                                        (260)",3シリーズツーリング,2019年モデル,320d xDrive Touring M Sport Edition Shadow,BMW
118,320d xDrive Touring M Sport (88),209〜680万円,798.0,1994cc,5,4WD,8AT,17.3km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=42297/UCGrade=49913/,"3シリーズツーリング 2019年モデル
                                        (260)",3シリーズツーリング,2019年モデル,320d xDrive Touring M Sport,BMW
119,M340i xDrive Touring (14),589〜883万円,1012.0,2997cc,5,4WD,8AT,12.2km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=42297/UCGrade=49914/,"3シリーズツーリング 2019年モデル
                                        (260)",3シリーズツーリング,2019年モデル,M340i xDrive Touring,BMW
120,320d BluePerformance Touring (1),74.2万円,491.0,1995cc,5,FR,8AT,19.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=25922/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320d BluePerformance Touring,BMW
121,318i Touring (4),109〜175万円,494.0,1498cc,5,FR,8AT,17.0km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=35778/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,318i Touring,BMW
122,320d BluePerformance Touring Luxury (5),79〜99万円,511.0,1995cc,5,FR,8AT,19.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=25925/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320d BluePerformance Touring Luxury,BMW
123,320d BluePerformance Touring Sport (6),67〜99万円,511.0,1995cc,5,FR,8AT,19.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=25923/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320d BluePerformance Touring Sport,BMW
124,320i Touring (14),67〜167万円,511.0,1998cc,5,FR,8AT,15.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=26728/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320i Touring,BMW
125,318i Touring Sport (2),170〜193万円,515.0,1498cc,5,FR,8AT,17.0km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=35782/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,318i Touring Sport,BMW
126,320d BluePerformance Touring M Sport (12),99〜178万円,535.0,1995cc,5,FR,8AT,19.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=25926/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320d BluePerformance Touring M Sport,BMW
127,318i Touring Luxury (5),150〜198万円,537.0,1498cc,5,FR,8AT,17.0km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=35779/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,318i Touring Luxury,BMW
128,318i Touring M Sport (5),130〜300万円,538.0,1498cc,5,FR,8AT,17.0km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=35780/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,318i Touring M Sport,BMW
129,320d Touring Modern (6),83〜135万円,549.0,1995cc,5,FR,8AT,19.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=28584/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320d Touring Modern,BMW
130,318i Touring M Sport Edition Shadow (2),178〜213万円,558.0,1498cc,5,FR,8AT,17.0km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=42912/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,318i Touring M Sport Edition Shadow,BMW
131,320i Touring Sport (6),97〜140万円,585.0,1998cc,5,FR,8AT,15.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=26729/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320i Touring Sport,BMW
132,320d Touring (5),110〜150万円,587.0,1995cc,5,FR,8AT,21.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=28582/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320d Touring,BMW
133,320d Touring Exclusive Sport (3),129〜169万円,594.0,1995cc,5,FR,8AT,19.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=29156/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320d Touring Exclusive Sport,BMW
134,320d Touring Celebration Edition Style Edge (1),237.0万円,599.0,1995cc,5,FR,8AT,21.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=34934/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320d Touring Celebration Edition Style Edge,BMW
135,320i Touring Luxury (32),72〜202万円,602.0,1998cc,5,FR,8AT,15.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=26731/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320i Touring Luxury,BMW
136,320i Touring M Sport (40),74〜286万円,608.0,1998cc,5,FR,8AT,15.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=26732/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320i Touring M Sport,BMW
137,320d Touring Sport (3),79〜135万円,610.0,1995cc,5,FR,8AT,21.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=28583/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320d Touring Sport,BMW
138,320i Touring Style Edge xDrive (2),158〜179万円,611.0,1998cc,5,4WD,8AT,14.9km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=33500/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320i Touring Style Edge xDrive,BMW
139,320i xDrive Touring Sport (2),134〜139万円,617.0,1998cc,5,4WD,8AT,14.9km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=27086/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320i xDrive Touring Sport,BMW
140,320d Touring StyleMeister (1),180.0万円,619.0,1995cc,5,FR,8AT,21.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=37263/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320d Touring StyleMeister,BMW
141,320d Touring Luxury (24),74〜206万円,627.0,1995cc,5,FR,8AT,21.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=28585/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320d Touring Luxury,BMW
142,320d Touring M Sport (51),60〜288万円,633.0,1995cc,5,FR,8AT,21.4km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=28586/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320d Touring M Sport,BMW
143,320i xDrive Touring Luxury (1),130.6万円,634.0,1998cc,5,4WD,8AT,14.9km/L,https://kakaku.com/kuruma/used/spec/Maker=22/Model=31687/Generation=41605/UCGrade=27088/,"3シリーズツーリング 2012年モデル
                                        (264)",3シリーズツーリング,2012年モデル,320i xDrive Touring Luxury,BMW
